,,,,,,,,,,,,,
Organisation Type,Project/Scheme Type,Organisation Name,Scheme/Project Name,Referral method,Address,Post Code,Number of Clients,Contact Details,Opening Time(s),Notes,Website,,
Church,Asylum Service,Oldham Baptist Church,The Welcome Project,Not known,"Chaucer Street, Oldham",OL1 1BA,,0161 624 1214,Thursday 1pm - 3pm,Aimed at failed asylum seekers/asylum seekers awaiting benefits. Food parcels provided,http://streetskitchen.co.uk/?page_id=1072,,
SureStart Centre,Food Distribution,Northenden Sure Start Children's Centre,,Referral,"Sale Road, Northenden, Manchester",M23 0JX,,northenden.sscc@manchester.gov.uk,Not known,"Limited amount of food parcels given on a first come, first served basis. Parcels available for referred families/those known to the centre.",https://hsm.manchester.gov.uk/kb5/manchester/directory/service.page?id=eVvTdqxYgos&directorychannel=1-2-4,,
Health Forum,Food Bank +,North Manchester Black Health Forum,"Food Bank, mental health issues",Assessment,"Woodville Children's Centre, Shirley Road, Cheetham, Manchester",M8 0NE,,0161 720 9974,Monday - Wednesday 12 - 2pm,"Subsidised café, cooking classes, food parcels on assessment",https://sites.google.com/site/nmblackhealth/home,,
Housing Association,Food Bank,New Longsight Housing Co-op,Food Bank,By appointment,"Studio 7 Longsight Business Park, Hamilton Road, Longsight, Manchester",M13 0PD,,0161 256 4226,By appointment,A 3 day food parcel service to Manchester residents,https://nlhc.wordpress.com/,,
Church,Food Distribution,New Covenant Church,Highway Hope ProjectCafé,Open door,"1 Matthews Lane, Ardwick, Manchester",M12 4WQ,Approx 30 people per week,info@manchesterncc.org,Tuesday 11am - 5pm,Café and emergency food. Full Roast dinner provided after Sunday service as well as food parcels available then too.,http://manchesterncc.org/,,
Church Group,Food Bank,Myriad Foundation,,Evidence of need,"Weybrook Road, Levenshulme",M19 2QD,,info@myriadfoundation.org 07584634997,Wednesday 7 - 9pm Saturday 12 - 3pm,,http://www.myriadfoundation.org/,,
Registered Charity,Food Club. £2 for 10 items for people on pension or benefits who are ‘Approaching Crisis’.,Mustard Tree,Food Club (Little Hulton),People ‘approaching crisis’ should be signposted to our Food Club and advised to bring proof of pension/benefit status. People ‘in crisis’  require a full referral for a food parcel via our website (mustardtree.org.uk) A hard copy must be given to the client plus a copy emailed to us. ,"50 Hulton District Centre, Little Hulton, Salford",M28 0AU,Work with 4000 clients annually,info@mustardtree.co.uk,Monday - Friday 10am - 4pm  except Thursday 10 – 12 only,,http://www.mustardtree.org.uk/,,
Registered Charity,Food Club. £2 for 10 items for people on pension or benefits who are ‘Approaching Crisis’.,Mustard Tree,Food Club (Eccles),People ‘approaching crisis’ should be signposted to our Food Club and advised to bring proof of pension/benefit status. People ‘in crisis’  require a full referral for a food parcel via our website (mustardtree.org.uk) A hard copy must be given to the client plus a copy emailed to us. ,"15 Southway, Eccles, Salford",M30 0LJ,Work with 4000 clients annually,info@mustardtree.co.uk,Weekdays 10am-4pm and Saturdays 10am-2pm,,http://www.mustardtree.org.uk/,,
Registered Charity,Food parcels available as crisis provision to pople who are referred.,Mustard Tree,Food Club & Soup Run,Referral required – appointment necessary,"110 Oldham Road, Ancoats, Manchester",M4 6AG,Work with 4000 clients annually,info@mustardtree.co.uk,"Monday, Tuesday, Wednesday, Friday 10am - 4pm and Saturdays 10am - 2pm.",,http://www.mustardtree.org.uk/,,
Housing Assoc,Pantry Club,Mottram St Pantry,Stockport Homes (Mottram Fold),Become a member – See notes for more information,"Mottram Towers, Mottram Fold Stockport ",SK1 3NY,,pantry@stockporthomes.org 0161 474 4760,Thursday 3.30pm - 5.30pm Friday 10am - 12 noon,Find out more about how to become a member here: <a href=”http://your-local-pantry.beta.stockporthomes.org/join-us/become-a-member/”>http://your-local-pantry.beta.stockporthomes.org/join-us/become-a-member/</a>,http://www.yourlocalpantry.co.uk/,,
Independent,Food Bank,Mossley Food Bank,Community Food Bank,Not known,"Micklehurst Youth Base, The Rowans, Mossley",OL5 9DR,,Not known,Very limited supplies,,https://mtc530.wordpress.com/2016/11/17/mossley-food-bank/,,
Registered Charity,Food Distribution,MERCi,Herbie the mobile greengrocer,Not known,"Bridge 5 Mill, 22a Beswick Street, Ancoats, Manchester",M4 7HR,,hello@herbie.org.uk,Timetabled Route,Afforable fresh fruit & veg,http://www.herbie.org.uk/,,
Registered Charity,Food Distribution,Manchester Buddhist Centre,Engaged Buddhist Kula,Not known,"16-20 Turner Street, Manchester",M4 1DZ,,mcrengagedbuddhists@yahoo.co.uk,Not known,,http://www.manchesterbuddhistcentre.org.uk/sangha/events/engaged-buddhists-food-bank-collection-starts.html,,
,Food Bank,Lifeshare Ltd,Food Bank,"self referrals for 16-25 year olds wanting to engage further with our service. If it is for food parcels only then it has to be agency referral. The parcel must be collected by a pport/agency worker if the recipient is over 25.
self referrals for 16-25 year olds wanting to engage further with our service.
If it is for food parcels only then it has to be agency referral. The parcel must be collected by a support/agency worker if the recipient is over 25.
","First Floor, 27 Houldsworth Street",M1 1EB,,office@lifeshare.org.uk,Mon-Fri 10am-4pm,,http://www.lifeshare.org.uk/,,
Registered Charity,Homeless Centre,Lifeshare,Weekend Breakfast Service,Self-referral,"Charter Street Ragged School, 142 Dantzic Street, Manchester",M4 4DN,Serve approx 50-60 breakfasts each day,office@lifeshare.org.uk,Saturday & Sunday 6.30am - 9am. ,Serve breakfast  to over 18s Food parcels can be available but Lifeshare must be contated in advance,http://www.lifeshare.org.uk/,,
Community Organisation,Food Bank,L'Chaim-Chabad,The Chabad Foodbank Initiative,Not known,"42 Singleton Road, Salford",M7 4LN,Distribute food to 70+ families each day. ,foodbank@lchaim.org.uk,Not known,,http://lchaimfoodbank.co.uk/,,
Community Organisation,Hot meal only.,Justlife Health & Enterprise Centre,Drop-in Meals,,"1479-1489 Ashton Old Road, Manchester",M11 1HH,,Not known,Monday & Friday 12noon,,http://justlife.org.uk/projects/justlife-manchester/,,
Church,Food Distribution,Hyde & District Fellowship of Churches,Community Food Store,Referral,"The Central Methodist Church, Crook Street, Hyde",SK14 1NQ,,O1613681392,Mon 1-2pm Thurs 10-11am Sat 12- 1pm,,https://www.facebook.com/hdfc.foodbank.sk14/,,
Charity,Food Distribution,Heywood ST Vincent de Paul Society Food Bank,,Assessment,"6 Bethel Street, Heywood ",OL10 1HU,,O1706 369 777,Appointment,Short term support for people in crisis,http://svp.org.uk ,,
Church,Food Distribution,Harpurhey Community Church,Open Door,Open door,"Christ Church, Harpurhey, Manchester",M9 5BG,90+ families & individuals each week,info@christchurchharpurhey.org,Tuesday from 11am,Café and Food Bank,http://christchurchharpurhey.org/  http://hcconline.org.uk/theopendoor,,
Registered Charity,Food Distribution,George House Trust,Food Parcel Scheme,Food & supplies to knowns only,"75 - 77 Ardwick Green North, Manchester",M12 6FX,,info@ght.org.uk,N/A,"Weekly supply of food & toiletries for people, known to GHT, who are HIV Positive and destitute. ",http://www.ght.org.uk/food-parcel-scheme,,
Church Group,Food Bank,Fountain Gate Chapel,,Call to refer,"Kingdom Mandate Centre, Chichester Road, Hulme",M15 5EU,,fgckmc@yahoo.com 0161 222 3032,Monday - Friday 11.30am - 2.30pm,,Not known,,
Registered Charity,"A healthy, cooked meal in a warm environment.",FoodCycle Manchester,FoodCycle Hub,,"The Roby, 307 Dickenson Road, Longsight, Manchester",M13 0NG,,manchester@foodcycle.org.uk,Wednesday 7:30pm,,http://foodcycle.org.uk/location/manchester/,,
Church Group,"A food bank for people in crisis, once every 2 weeks.",Feed the 5000,,,"Faith Life Centre, 5 Mary Street, Manchester",M3 1NH,,info@manchesterlifecentre.co.uk 0161 298 5123,Thursday 4 - 6pm plus Job Club Monday 1-2pm,,http://manchesterlifecentre.co.uk/cms/,,
Registered Charity,Food Bank,Emmeline's Pantry Parlour,Women only Food bank,Referral,"The Pankhurst Centre, 60 - 62 Nelson Street, Manchester",M13 9WP,,0161 273 5673,Wednesday 11am - 1pm,Advice is to call ahead,https://www.facebook.com/Emellines/,,
Church,Food Bank & Café,Elim Foursquare Church,Hope Food Bank,,"182 Greenacres Road, Oldham",OL4 2AB,,,Monday - Friday via referral and Saturdays 10am -2pm,Hope Café is open on Saturdays,http://www.elim4sq.org.uk/hope-food-bank/,,
Church,Food Distribution,East Oldham Methodist Church,Food Share,Local families,"Collett Street, Off Ripponden Road, Oldham",OL1 4HP,,,Contact for details,Provides 20 food parcels to local familes,http://eastoldhamchurch.weebly.com/community-involvement.html,,
,Pantry Club,Dukinfield Pantry,New Charter Housing Group,Not known,1 Wellington Parade Central Estate Dukinfield ,SK16 4LE,,,Tuesday and Thursday 9:30am – 12:30pm,,,,
Registered Charity,Food Bank,Compassion Prison Ministries,Compassion Food Bank,Referral/assessment,"Church of God of Prophecy, 300 Moss Lane East, Moss Side, Manchester",M14 4SS,,admin@compassionfoodbank.co.uk,"Tuesdays & Fridays 12pm – 3pm,  1st Saturday of month 10am – 12noon",Also a parent's breakfast club first Tuesday of the month 9 - 11.30am,http://www.compassionfoodbank.co.uk/,,
Community Organisation,Family Centre,Chrysalis Manchester,,Not known,"4 Westerling Way, Moss Side, Manchester",M16 7EA,,Not known,Not known,,https://chrysalisfamilycentre.wordpress.com/,,
Church,Food Bnak plus other,Christian Restoration Manchester,Food bank plus,Proof of benefits or referral from other organisations,"451 Victoria Avenue, Blackley, Manchester (on google maps its the Victoria Avenue entrance to Blackley Cemetery as our building is inside the cemetary.)",M9 8JP,,crm.manchester@gmail.com,"Tuesday 6:30pm to 8:30pm, Thursday 12pm to 3pm, Friday 7pm to 8pm, ( however Sunday @12pm to 3pm we offer tea, snacks )",,www.crm-manchester.org,,
Church,Food Bank,Christian Restoration Manchester,Restoration Food Bank,Not known,"125-133 Pollard Street, Ancoats, Manchester",M4 7JB,,crm.manchester@gmail.com,Tuesday 6pm - 8pm and Sunday 3pm - 5pm,Dry food parcels and hygeine products available both days. Hot meals available on Sundays,http://crm-manchester.org/,,
Church,Food Distribution,Christchurch Church Hall,Drop in,Not known,"Block Lane, Chadderton",OL9 7QB,,Not known,Food Store is open Monday - Friday 10am - 12pm. ,"Food parcels given out to anyone who is homeless, on benefits or engage with drug/alcohol/mental health agencies",http://streetskitchen.co.uk/?page_id=1072,,
,Food Bank,Christ the Vine Ministries,,Not known,"Park View, Harpurhey Road, Rochdale Manchester",M9 5TF,,0790 383 3949,Weds 12-2pm ,,http://christthevine.weebly.com/about.html,,
Registered Charity,Food Bank,Chelwood Foodbank Plus (St Petersgate),,Not known,"Rev320 Charity Shop, 22 St Petersgate, Stockport",SK1 1HD,,Not known,Friday 2pm - 4pm,Street kitchen serving warm food and drinks. Also provides warm clothing & sleeping bags in winter,http://www.chelwoodfoodbankplus.org/opening-times/,,
Registered Charity,Food Bank,Chelwood Foodbank Plus (Brinnington),,Not known,"Brinnington Community Church, Northumberland Road, Brinnington, Stockport",SK5 8LS,,info@chelwoodfoodbankplus.org,Wed 1pm - 3pm,,http://www.chelwoodfoodbankplus.org/opening-times/,,
Church,"Fare Share Café provides free refreshments, support, and a place to pick up your food parcel.",Chadderton Community Church,Fare Share,,"Garforth Street, Chadderton",OL9 6RW,,07842 207 498,Tuesdays 11am - 1pm,,http://www.chaddertoncommunity.org.uk/fare-share/,,
Registered Charity,Food and Drink available throughout the day.,Caritas Diocese of Salford,Cornerstone,,"104b Denmark Road, Manchester",M15 6JS,200 people come to Cornerstone each day,Not known,Monday - Friday 10:30am - 4pm,,http://www.cornerstonecds.org.uk/,,
Registered Charity,Food Distribution,Caritas Diocese of Salford,Lalley Community Centre,Not known,"St Malachy's RC Primary School, Eggington Street, Manchester",M40 7RG,,lalleycentre@caritassalford.org.uk,Wednesday and Thursday 10am - 3pm,"Food provided on a first come, first served basis",http://www.caritassalford.org.uk/community-resource-centres/lalley-community-centre,,
SureStart Centre,Food Distribution,Brooklands SureStart Children's Centre,,First come first served,"Sandilands School, Wendover Road, Brooklands, Manchester",M23 9JX,,brooklands.sscc@manchester.gov.uk,Not known,"Limited amount of food parcels given on a first come, first served basis. ",https://hsm.manchester.gov.uk/kb5/manchester/directory/service.page?id=ZvxLzyU_ihk,,
Housing Assoc,Pantry Club,Brinnington Pantry,Stockport Homes (Brinnington),Become a member. See notes.,"First House, 367 Brinnington Road, Brinnington, Stockport",SK5 8EN,,pantry@stockporthomes.org 0161 474 4760,Thursday 3.30pm - 5.30pm Friday 10a - 12 noon,Find out how to become a member here: <a href=”http://your-local-pantry.beta.stockporthomes.org/join-us/become-a-member/”>http://your-local-pantry.beta.stockporthomes.org/join-us/become-a-member/</a>,http://www.yourlocalpantry.co.uk/,,
Registered Charity,Asylum Service,BRASS Bolton,Destitution Project,Not known,"The Lodge, Green Lane, Bolton",BL3 2HP,,admin@brass-bolton.org.uk,Wednesday 10am - 4pm,Provides weekly food & toiletries to destitute asylum seekers.,http://brassbolton.org/index.php/en/,,
Registered Charity,Homeless Centre,Booth Centre,Breakfast and lunch for homeless people. Can supply food bank referral forms.,,"Edward Holt House, Pimblett Street, Manchester",M3 1FU,170 people come to the Booth Centre each week,admin@boothcentre.org.uk,Food served daily 9am - 1:30pm,,http://www.boothcentre.org.uk/,,
Registered Charity,British Red Cross Food Parcel or £10 per week for food and essentials (for those who are not eligible for Red Cross support). Plus monthly Drop Ins where food and toiletries are distributed to clients.,Boaz Trust,,,"First Floor, 110 Oldham Road, Manchester",M4 6AG,Served 2045 meals in 2014/2015,info@boaztrust.org.uk,Not known,,www.boaztrust.org.uk,,
Community Group,,Befrienders,,Formal referral,"Methodist Central Hall, Oldham Street, Manchester",M1 1JQ,,admin@methodistcentralbuildings.org.uk 0161 236 1185,Monday & Wednesday 2 - 4pm,,http://www.methodistcentralbuildings.org.uk/,,
Registered Charity,Homeless Centre,Barnabus,The Beacon Drop-In Centre,Not known,"45 Bloom Street, Manchester",M1 3LY,Approx 600 visits each week,admin@barnabusmanchester.co.uk,5 days and 5 evenings per week,"Offer food, clean clothing, blankets, hot showers and toiletry packs",http://www.barnabus-manchester.org.uk/what_we_do.html,,
SureStart Centre,Food Distribution,Baguley SureStart Centre,,For families with young children,"Ackworth Drive, Baguley, Manchester",M23 1LB,"Limited amount of food given out on a first come, first served basis",0161 227 3477 / baguley.sscc@manchester.gov.uk,Monday - Friday 8am - 4pm. Please ring.,For families with children under 5 years old,https://hsm.manchester.gov.uk/kb5/manchester/directory/service.page?id=cym_FYfIik8&directorychannel=1-2-4,,
Church Group,Food Bank,Audacious A Teams,,For homeless & sex workers,"Audacious Church, Trinity Way, Manchester",M3 7BB,,info@audaciouschurch.com 0161 830 7000,Monday - Friday 10am - 4pm,,https://audaciouschurch.com/a-teams/,,
Mosque,Food Bank,Ashton Central Mosque,,Not known,"Hillgate Street, Ashton-under-Lyne",OL6 9JA,,Not known,Not known,,http://ashtoncentralmosque.com/index.php/services/tameside-food-bank/,,
,,Ardwick & Longsight Foodbank ,,Referral or proof on need +ID,"Transformation Community Resource Centre, 11 Richmond Grove, Longsight",M13 0LN,,07928 412339,Monday 1-3 Thursday 2-4,,http://ardwickandlongsightfoodbank.org.uk/,,
Community Organisation,Food Bank,4CT Limited,East Manchester (Beswick) Food Bank,Referral,"Grange Community Resource Centre, Pilgrim Drive.Beswick, Manchester",M11 3TQ,Distribute a maximum of 45 food bags per week,v.keelan.4ct@btconnect.com,Friday 10am - 12oon,"Maximum of 4 weeks within a 6 month period. For street homeless, fleeing domestic violence. Open access Job club Friday 10am - 2pm",http://www.4ct.org.uk/index.php/Section76.html,,
Community Organisation,Food Bank,4CT Limited,East Manchester (Newton Heath) Food Bank,Referral/Proof of benefits,"CSTAR Stirling Centre, Scotland Hall Road, Newton Heath, Manchester",M40 2AZ,Distribute a maximum of 45 food bags per week,v.keelan.4ct@btconnect.com,Wednesday 2pm - 4pm,Maximum of 4 weeks within a 6 month period,http://www.4ct.org.uk/index.php/Section76.html,,
